Codigo;Nombre;Categoria;Proveedor;Stock;Costo;Precio;
724751092854;½ Docena huevos COECO;Almacen;;-36;0.00;4100.00;
7798442440425;Acai en polvo 50g OH YEAH ITS VEGAN;Conservas;;0;0.00;10500.00;
705105855448;Aceite chia Solazteca 150 cc;Aceites;Eco Tierra;-5;1390.40;6265.00;
705105855547;Aceite chia Solazteca 250 cc;Aceites;;-1;0.00;12710.00;
12;Aceite chia Sturla 150 cc;Aceites;Fernanda - Alimentos Naturales;0;;538.80;
18;Aceite coco neutro 5 lts BIOTERRA;Aceites;Bio Terra;0;;2353.20;
4623626;Aceite cosmetico de Coco Neutro 180ml SUMA QAMAÑA;Aceites;;0;;6120.00;
37261316;Aceite cosmetico de Coco Neutro 220ml SUMA QAMAÑA;Aceites;;0;;6650.00;
7795513155646;Aceite de Almendras 100ml SOL AZTECA;Almacen;;0;0.00;9900.00;
24;Aceite de arnica alsina;Almacen;Herboristería Alsina;-1;0.00;5250.00;
7798121273221;Aceite de Arnica BOTANIKA 30ml;Almacen;;-2;0.00;15000.00;
25;Aceite de Arnica para masajes Sentida Botanica;Almacen;Sentida botanica;-1;0.00;9864.00;
26;Aceite de Cannabis 20ml Nanko CDB 10:1 20 ml;Almacen;Liliana pintofruta;-5;0.00;11311.20;
27;Aceite de Cannabis Ananda 10 ml;Almacen;Lean Despierta Ananda;-141;0.00;14000.00;
28;Aceite de Cannabis EXTRA Nanko CDB 1:1;Almacen;Liliana pintofruta;-3;0.00;11311.20;
6769865;Aceite de cannabis medicinal CHO 15ml;Almacen;;-35;0.00;11000.00;
29;Aceite de Cannabis Nanko CDB 10:1 10 ml;Almacen;Liliana pintofruta;0;0.00;5913.60;
30;Aceite de Cannabis Nanko KELANCHOE 10 ml;Almacen;Liliana pintofruta;0;0.00;5913.60;
31;Aceite de Cannabis Nanko Mascotas 10 ml;Almacen;Liliana pintofruta;0;0.00;5913.60;
32;Aceite de Cannabis Nanko MELATONINA 10 ml;Almacen;Liliana pintofruta;0;0.00;5913.60;
2141441;Aceite de Citronella 10ml SUMA QAMAÑA llakipakuy;Almacen;;-1;0.00;5280.00;
34;aceite de coco 100 ml GREEN LEAF;Almacen;Crackines (Milgal) Lucas;0;331.80;618.00;
38;aceite de coco 360 ml GREEN LEAF;Cosmetica natural;Crackines (Milgal) Lucas;0;908.50;1695.60;
39;aceite de coco 660 ml GREEN LEAF;Cosmetica natural;Crackines (Milgal) Lucas;0;1153.40;2151.60;
7798165591695;Aceite de coco Beepure 200 ml;Miel;Beepure;0;1327.20;2478.00;
41;Aceite de coco Beepure 330 ml;Miel;Beepure;-4;377.62;5750.40;
7798318384006;Aceite de coco MCT PREMIUM GOD BLES YOU;Aceites;;-6;;20000.00;
7798260050233;Aceite de Coco Neutro 180ml CHIA GRAAL;Aceites;VIVET;-11;0.00;6600.00;
63463;Aceite de coco neutro 180ml SUMA QAMAÑA;Aceites;;-9;;6120.00;
7798318380053;Aceite de coco neutro 1lt GOD BLESS YOU;Aceites;;-2;0.00;18000.00;
5335;Aceite de coco neutro 220ml SUMA QAMAÑA;Aceites;;-15;0.00;7000.00;
