Ranking;Producto
1;PRODUCTOS A PESAR X KG
2;varios almacen
3;Empanadas (todas) DAFNE / VARDO
4;Pan de Semillas Plutarco
5;Cortezas 250g envasadas Plutarco
6;Pan de oliva y sal marina Plutarco
7;Huevos Sueltos Dialupe  «  docena
8;Huevos Sueltos Dialupe Maple
9;Budin VEGANO Plutarco
10;Pepas Plutarco 200 gr
11;Pan de arroz yamani Plutarco
12;Crackines galletas de arroz
13;Galleton dulce VEGANO Plutarco
14;Bocado de COCO y nueces 36g
15;Queso crema REBELDE
16;Tofu organico Soyana 350 grs
17;Cortezas 500g envasadas Plutarco
18;Milanesas de soja organica Semilla Amarilla
19;Hummus ONNEG
20;Hamburguesa de Bufalo BUFALA
21;Aceite de Oliva 1lt Suelto
22;Pan de Sarraceno Plutarco
23;Aceite de Oliva «lt Suelto
24;Tofu ARTESANAL MEI
25;Chapati (pan para sandwich) Plutarco
26;Mantequilla de mani 380g NINAS
27;Manzanilla 50g Plut
28;Mezcla yuyos para mate 50g Plut
29;Babaganush ONNEG
30;Pre-pizza integral Plutarco
31;Pre-pizza de arroz Plutarco
32;Garbanzos 500g plutarco
33;Pan de centeno Plutarco
34;Alfajor (todos) KETO Nutrirte
35;Lentejas 500g Plutarco
36;Datilicious datiles con avellanas La Foret 80g
37;Hamburguesas Funger
38;Huevos « Docena Egg Hongs
39;Arroz yamani 500g Plutarco
40;Cacao amargo en polvo 100g PLUTARCO
41;« Docena huevos COECO
42;sahumerios nag champa (ayurvedasandalwood)
43;Te de burro (Burrito) PLUT 50g
44;Torta Galesa Plutarco
45;Curcuma x 50grs
46;Manicol 35 gr PACHAMANI todos
47;Barra con Almendra LADDUBAR
48;Avena arrollada tradicional instantanea 500g Plutarco
49;Arroz yamani 1 kg Plutarco
50;Quinoa blanca  500 grs SUMA QAMA¥A
51;BROWNIE / ALFAJOR EPUYEN
52;Miel cruda 500grs Suma Qama¤a / juan en el campo
53;troncoso fideos 500g 1
54;Yogurth griego natural ghurt 200g
55;Ciruelas 250g
56;Yogurth griego natural ghurt 370g
57;Alfajor Coprigio caprigio (sin azucar)
58;Sal rosada del Himalaya fina organica 500 gr
59;Cafe Motofeca Colombia 250g
60;TOQUES THAI CASA VEGANA x420g
61;yerba Kalena con palo 500 gr
62;Miel Pura 500g RAIMAPU (sin etiqueta)
63;Tortillas PURO MAIZ (Amarillo)
64;barra de cereales muecas coco y cacao
65;Polenta Del Campo 500 gr
66;YERBA Jesper con hierbas serranas 500 gr
67;Pistacho salado con cascara 100gr Plutarco
68;Hamburguesas Las Veganas
69;Sal marina (fina o gruesa) Macrozen 500 gr
70;Sal marina yodada fina 500g LIBERATO
71;Miel Pura 1kg RAIMAPU (sin etiqueta)
72;Barritas de Cereal y Mani Manduvi Kui
73;Envase LA CHOZA / LOS CEREZOS
74;chips Nuestros Sabores papas rusticas sal marina
75;Lentejas 1 k Plutarco
76;Milanesa Suprema de Pollo COECO
77;Caramelos de Jengibre y Miel Fuerte/Suave origuno TODOS
78;mermelada las quinas sin azucar frutilla 420g
79;Lentejas Roja Turca 500g plutarco
80;Ciruelas 500g
81;Barra con avellanas LADDUBAR
82;Yerba La Buena 500 gr
83;Galleton dulce frutos secos VEGANO Plutarco
84;Galletas arroz rodez sin sal 1
85;Jugo Manzana roja Pura Frutta 250ml
86;Cedron 50g Plut
87;Leche de Almendras AMANDE
88;Arroz blanco g. largo 500 g Plutarco
89;Harina Integral Brotes fina 1 kg
90;Medallones y milanesas (variedades). Semilla Amarilla
91;Harina de GARBANZOS x 500g PLUTARCO
92;mermelada las quinas sin azucar frutos rojos 420g
93;Sahumerio Satya Super Hit Incense
94;Yerba TITRAYJU 1kg
95;Chucrut LA FERMENTADORA
96;Cortezas 100g Envasadas Plutarco
97;Chocolate Colonial 60% 16g
98;Jugo Pura Frutta Naranja 250ml
99;Crudda bar avellana
100;Jugo Manzana roja Pura Frutta 1 lt
101;Huevos Maple Egg Hongs
102;Quinoa blanca 250 grs SUMA QAMA¥A
103;TOQUES GARBANZOS CASA VEGANA x420g
104;Tintura madre MELENA DE LEON ARTESANAL
105;Nuggets soyana 300gr
106;Canela en polvo 50g Plut
107;Galletas arroz tostadas Carilo 150 gr
108;Cola de caballo 50g Plut
109;Crudda bar brownie
110;Manteca Lobos pasteurizada
111;Quinoa POP 80g ying yang
112;Harina de almendras 250g plutarco
113;Tintura madre REISHI ARTESANAL
114;Fideos Wakas  Kale
115;yerba Kalena DESPALADA 500 gr
116;Yerba TITRAYJU 500g
117;Arroz integral 500g Plutarco
118;Alfajor Mani Felices Las Vacas
119;Avena arrollada tradicional instantanea 1 kg Plutarco
120;Hibiscus 50g Plut
121;Levadura Nutrileva Queso Calsa 200 gr
122;Suprema deshuesada x UNIDAD COECO
123;Cigarrillos herbales (todos) RITUAL
124;Peperina 50g Plut
125;Melisa 50g plut
126;Acondicionador Samu Cocoy romero
127;Barrita de Chocolate colonial 70% 16g 
128;Coco en escamas 100g Plutarco
129;Pochoclos organico con azucar BAMBOO
130;Pollo entero / trozado COECO
131;Miel cruda 1Kg Suma Qama¤a
132;Salsa de Soja Shoyu MOA / MEI 0.5 lt
133;Aceite de Cannabis Ananda 10 ml
134;alfajor celienergy nuez
135;Chocolate 80% cacao sin azucar NUTRIRTE
136;Arroz carnaroli 500g Plutarco
137;Ghee Vaca Yogui 220 gr Manteca clarificada
138;Ghee Vaca Yogui 350 gr Manteca clarificada
139;Ghee Vaca Yogui 650 gr Manteca clarificada
140;Tostaditas Chia Yin Yan 120 gr
141;Harina de Trigo Sarraceno semillas gauchas  x 500grs
142;Pata y muslo pollo deshuesado COECO
143;crudda bar banana toffee
144;mermelada las quinas sin azucar arandanos 420g
145;Pata y muslo pollo con piel y hueso COECO
146;Wik Barra de Quinoa inflada y chocolate
147;Oregano 50g Plut
148;TOQUES LENTEJAS CASA VEGANA x420g
149;Yogurth bebible natural entero 1 lt La Choza (NO incluye el envase)
150;Crackers SHIVA ahumado x 100grs
151;Azucar mascabo 500 gr ECOSUCRE
152;crudda bar arandanos y nuez
153;Crackers SHIVA carbon x 100grs
154;Crudda bar Peanut Caramel
155;Harina de arroz integral 500g
156;Miel Cruda 500g Las Quinas
157;Levadura Nutrileva Virgen Calsa 200 gr
158;Shampoo solido Samu 70 gr coco y bergamota
159;Quinoa blanca  1kg SUMA QAMA¥A
160;Pasta de Mani Kui natural
161;Yogurth bebible natural 500cm3 La Choza (NO incluye el envase)
162;Azucar mascabo 500 gr BALAJU
163;FECULA de Mandioca 500g PLUTARCO
164;Diente de leon 50g Plut
165;Jengibre 50g Plut
166;Miso organico 200 gr MOA / MEI
167;Tarta individual VARDO
168;Yogurth bebible vainilla 1 lt La Choza (NO incluye el envase)
169;Yogurth bebible natural 1 lt La Choza (NO incluye el envase)
170;Yogurth bebible natural DESCREMADO 500cm3 La Choza (NO incluye el envase)
171;Yogurth griego natural ghurt 750g
172;Azucar Rubia Organica SAN ISIDRO 1kg PLUT
173;Curry de la india 50g Plut
174;mermelada las quinas sin azucar durazno 420g
175;Sahumerio satya aaruda
176;miel las quinas organica cremosa
177;arroz yin yang integral 500g
178;Carqueja 50g Plut
179;Aceite oliva organico El Renuevo 500 cc
180;Agua de mar x 1Lt PRANAMAR
181;Extracto de vainilla El Castillo 100 cc
182;Galletas de arroz Party beck rice 70 gr
183;Manicol 100 gr PACHAMANI cacao
184;Miel EL ARBOL 500Grs
185;Sal rosada del Himalaya gruesa organica 500 gr
186;Shampoo solido Samu coco romero jarilla 70 gr
187;Yogurth Vegano COCO IOGO CRUDDA  160 GR NATURAL
188;Yogurth bebible frutilla 1LT La Choza (NO incluye el envase)
189;Azucar mascabo 1kg ECOSUCRE
190;Jabon de coco 220 gr
191;Maple de Huevos COECO
192;Yogurth bebible vainilla 500cm3 La Choza (NO incluye el envase)
193;Jabon de corporal 110gr (todos) Pajaro Tigre
194;Sal marina yodada gruesa 500g LIBERATO
195;Salvado de Avena 500g Plutarco
196;Yerba Grapia Milenaria 1kg
197;Yogurth bebible F. bosque 500cm3 La Choza (NO incluye el envase)
198;Arroz integral 1 kg Plutarco
199;Bicarbonato de sodio 100g Plut
200;Cafe Motofeca BLEND DE LA CASA 250 g
201;Arroz yamani organico Yin Yan 500 gr
202;Harina Integral Brotes extrafina 1 kg
203;Manicol 100 gr PACHAMANI algarroba
204;miel las quinas organica libre de gluten 500g
205;Yerba Roapipo tradicional 1kg
206;Manicol 100 gr PACHAMANI cacao y nuez
207;minis Cashoo
208;Salsa Tomates NUESTRAS MANOS 950 cc
209;TOQUES TIKKA CASA VEGANA x420g
210;Yogurth Vegano COCO IOGO CRUDDA  160 GR VAINILLA
211;Comino molido 50g Plut
212;Extracto de vainilla El Castillo 30 cc
