Ranking;Producto
1;Maple de Huevos COECO
2;½ Docena huevos COECO
3;Empanadas (todas) DAFNE / VARDO
4;Pan de Semillas Plutarco
5;NUEVAS! Cortezas oliva y maiz 250grs
6;Cortezas 250g envasadas Plutarco
7;Pan de oliva y sal marina Plutarco
8;Huevos Sueltos Dialupe  �  docena
9;Huevos Sueltos Dialupe Maple
10;Pan de arroz yamani Plutarco
11;Budin VEGANO Plutarco
12;Pepas Plutarco 200 gr
13;Pepitos con chips Plutarco 200 gr
14;Crackines galletas de arroz
15;Galleton dulce frutos secos VEGANO Plutarco
16;Galleton dulce chips VEGANO Plutarco
17;Galleton dulce membrillo VEGANO Plutarco
18;Alfajor dubai PISTACCINO 55g
19;Bocado de COCO y nueces 36g
20;Queso crema REBELDE
21;Tofu organico Soyana 350 grs
22;Cortezas 500g envasadas Plutarco
23;Milanesas de soja organica Semilla Amarilla
24;Hummus ONNEG
25;Hamburguesa de Bufalo BUFALA
26;Aceite de Oliva 1lt Suelto
27;Pan de Sarraceno Plutarco
28;Aceite de Oliva �lt Suelto
29;Tofu ARTESANAL MEI
30;Chapati (pan para sandwich) Plutarco
31;Mantequilla de mani 380g NINAS
32;Manzanilla 50g Plut
33;yerba Kalena con palo 500 gr
34;Babaganush ONNEG
35;Pre-pizza integral Plutarco
36;Pre-pizza de arroz Plutarco
37;Arroz yamani 500g Plutarco
38;Pan de centeno Plutarco
39;Alfajor (todos) KETO Nutrirte
40;Datilicious datiles con avellanas La Foret 80g
41;Avena arrollada instantanea 500g Plutarco
42;Garbanzos 500g plutarco
43;Huevos � Docena Egg Hongs
44;Lentejas 500g Plutarco
45;Yerba Roapipo suave 500g
46;sahumerios nag champa (ayurvedasandalwood)
47;Cafe Motofeca Colombia 250g
48;Torta Galesa Plutarco
49;Curcuma x 50grs
50;Manicol 35 gr PACHAMANI todos
51;Barra con Almendra LADDUBAR
52;Arroz integral 500g Plutarco
53;Arroz yamani 1 kg Plutarco
54;Quinoa blanca  500 grs SUMA QAMA�A
55;BROWNIE / ALFAJOR EPUYEN
56;Miel cruda 500grs Suma Qama�a / juan en el campo
57;troncoso fideos 500g 1
58;Yogurth griego natural ghurt 200g
59;Ciruelas 250g
60;Yogurth griego natural ghurt 370g
61;Alfajor Coprigio caprigio (sin azucar)
62;Sal rosada del Himalaya fina organica 500 gr
63;
64;
65;Roapipo 500grs Tradicional
66;Miel Pura 500g RAIMAPU (sin etiqueta)
67;Tortillas PURO MAIZ (Amarillo)
68;barra de cereales muecas coco y cacao
69;Cedron 50g Plut
70;YERBA Jesper con hierbas serranas 500 gr
71;Pistacho salado con cascara 100gr Plutarco
72;Hamburguesas Las Veganas
73;Sal marina (fina o gruesa) Macrozen 500 gr
74;Sal marina yodada fina 500g LIBERATO
75;Miel Pura 1kg RAIMAPU (sin etiqueta)
76;Barritas de Cereal y Mani Manduvi Kui
77;Envase LA CHOZA / LOS CEREZOS
78;chips Nuestros Sabores papas rusticas sal marina
79;Lentejas 1 k Plutarco
80;Milanesa Suprema de Pollo COECO
81;Caramelos de Jengibre y Miel Fuerte/Suave origuno TODOS
82;mermelada las quinas sin azucar frutilla 420g
83;Lentejas Roja Turca 500g plutarco
84;Ciruelas 500g
85;Barra con avellanas LADDUBAR
86;
87;Mezcla yuyos para mate 50g Plut
88;Galletas arroz rodez sin sal 1
89;Jugo Manzana roja Pura Frutta 250ml
90;Yerba La Buena 500 gr
91;Leche de Almendras AMANDE
92;Arroz blanco g. largo 500 g Plutarco
93;
94;Medallones y milanesas (variedades). Semilla Amarilla
95;Harina de GARBANZOS x 500g PLUTARCO
96;mermelada las quinas sin azucar frutos rojos 420g
97;Sahumerio Satya Super Hit Incense
98;Yerba TITRAYJU 1kg
99;Chucrut LA FERMENTADORA
100;Cortezas 100g Envasadas Plutarco
101;Chocolate Colonial 60% 16g
102;Jugo Pura Frutta Naranja 250ml
103;Crudda bar avellana
104;Jugo Manzana roja Pura Frutta 1 lt
105;Huevos Maple Egg Hongs
106;Quinoa blanca 250 grs SUMA QAMA�A
107;
108;Tintura madre MELENA DE LEON ARTESANAL
109;Nuggets soyana 300gr
110;Canela en polvo 50g Plut
111;Galletas arroz tostadas Carilo 150 gr
112;Cola de caballo 50g Plut
113;Crudda bar brownie
114;Manteca Lobos pasteurizada
115;Quinoa POP 80g ying yang
116;Harina de almendras 250g plutarco
117;Tintura madre REISHI ARTESANAL
118;Fideos Wakas  Kale
119;yerba Kalena DESPALADA 500 gr
120;Yerba TITRAYJU 500g
121;
122;Alfajor Mani Felices Las Vacas
123;Avena arrollada tradicional instantanea 1 kg Plutarco
124;Hibiscus 50g Plut
125;Levadura Nutrileva Queso Calsa 200 gr
126;Suprema deshuesada x UNIDAD COECO
127;Cigarrillos herbales (todos) RITUAL
128;Peperina 50g Plut
129;Melisa 50g plut
130;Acondicionador Samu Cocoy romero
131;Barrita de Chocolate colonial 70% 16g 
132;Coco en escamas 100g Plutarco
133;Pochoclos organico con azucar BAMBOO
134;Pollo entero / trozado COECO
135;Miel cruda 1Kg Suma Qama�a
136;Salsa de Soja Shoyu MOA / MEI 0.5 lt
137;Aceite de Cannabis Ananda 10 ml
138;alfajor celienergy nuez
139;Chocolate 80% cacao sin azucar NUTRIRTE
140;Arroz carnaroli 500g Plutarco
141;Ghee Vaca Yogui 220 gr Manteca clarificada
142;Ghee Vaca Yogui 350 gr Manteca clarificada
143;Ghee Vaca Yogui 650 gr Manteca clarificada
144;Tostaditas Chia Yin Yan 120 gr
145;Harina de Trigo Sarraceno semillas gauchas  x 500grs
146;Pata y muslo pollo deshuesado COECO
147;crudda bar banana toffee
148;mermelada las quinas sin azucar arandanos 420g
149;Pata y muslo pollo con piel y hueso COECO
150;Wik Barra de Quinoa inflada y chocolate
151;Oregano 50g Plut
152;Harina Integral Brotes extrafina 1 kg
153;Yogurth bebible natural entero 1 lt La Choza (NO incluye el envase)
154;Crackers SHIVA ahumado x 100grs
155;Azucar mascabo 500 gr ECOSUCRE
156;crudda bar arandanos y nuez
157;Crackers SHIVA carbon x 100grs
158;Crudda bar Peanut Caramel
159;Harina de arroz integral 500g
160;Miel Cruda 500g Las Quinas
161;Levadura Nutrileva Virgen Calsa 200 gr
162;Shampoo solido Samu 70 gr coco y bergamota
163;Quinoa blanca  1kg SUMA QAMA�A
164;Pasta de Mani Kui natural
165;Yogurth bebible natural 500cm3 La Choza (NO incluye el envase)
166;Harina Integral Brotes fina 1 kg
167;FECULA de Mandioca 500g PLUTARCO
168;Diente de leon 50g Plut
169;Jengibre 50g Plut
170;Miso organico 200 gr MOA / MEI
171;Tarta individual VARDO
172;Yogurth bebible vainilla 1 lt La Choza (NO incluye el envase)
173;Yogurth bebible natural 1 lt La Choza (NO incluye el envase)
174;Yogurth bebible natural DESCREMADO 500cm3 La Choza (NO incluye el envase)
175;Yogurth griego natural ghurt 750g
176;Azucar Rubia Organica SAN ISIDRO 1kg PLUT
177;Curry de la india 50g Plut
178;mermelada las quinas sin azucar durazno 420g
179;Sahumerio satya aaruda
180;miel las quinas organica cremosa
181;arroz yin yang integral 500g
182;Carqueja 50g Plut
183;Aceite oliva organico El Renuevo 500 cc
184;Agua de mar x 1Lt PRANAMAR
185;Extracto de vainilla El Castillo 100 cc
186;Galletas de arroz Party beck rice 70 gr
187;Manicol 100 gr PACHAMANI cacao
188;Miel EL ARBOL 500Grs
189;Sal rosada del Himalaya gruesa organica 500 gr
190;Shampoo solido Samu coco romero jarilla 70 gr
191;Yogurth Vegano COCO IOGO CRUDDA  160 GR NATURAL
192;Yogurth bebible frutilla 1LT La Choza (NO incluye el envase)
193;Azucar mascabo 1kg ECOSUCRE
194;Jabon de coco 220 gr
195;
196;Yogurth bebible vainilla 500cm3 La Choza (NO incluye el envase)
197;Jabon de corporal 110gr (todos) Pajaro Tigre
198;Sal marina yodada gruesa 500g LIBERATO
199;Salvado de Avena 500g Plutarco
200;Yerba Grapia Milenaria 1kg
201;Yogurth bebible F. bosque 500cm3 La Choza (NO incluye el envase)
202;Arroz integral 1 kg Plutarco
203;Bicarbonato de sodio 100g Plut
204;Cafe Motofeca BLEND DE LA CASA 250 g
205;Arroz yamani organico Yin Yan 500 gr
206;
207;Manicol 100 gr PACHAMANI algarroba
208;miel las quinas organica libre de gluten 500g
209;Yerba Roapipo tradicional 1kg
210;Manicol 100 gr PACHAMANI cacao y nuez
211;minis Cashoo
212;Salsa Tomates NUESTRAS MANOS 950 cc
213;
214;Yogurth Vegano COCO IOGO CRUDDA  160 GR VAINILLA
215;Comino molido 50g Plut
216;Extracto de vainilla El Castillo 30 cc
217;Arroz blanco organico Yin Yan 500 gr
218;Bebida de Almendras 910ml GREEN FOOD MAKERS
219;Huevos Sueltos �  docena
220;Kefir 1Lt Limonada
221;Datilicious datiles con mani La Foret 80g TODOS
222;Yerba Ajedrez 500 gr
223;Yerba Arapegua con palo 500g
224;Poroto colorados 500g Plutarco
225;Sal marina yodada entrefina 500g LIBERATO
226;Yogurth bebible frutilla 500cm3 La Choza (NO incluye el envase)
227;Yerba Grapia Milenaria 500grs
228;Agua de mar x 5lts PRANAMAR
229;Arroz basmati 500g Plutarco
230;Detergente 500cc MAS NATURAL
231;Arroz blanco g. largo 1 kg Plutarco
232;Poroto mung 500g Plutarco
233;Fari�a de Mandioca 500g PLUTARCO
234;Yerba IVU Organica 500g
235;Jugo de manzana Kissabel 1lt PURA FRUTTA
236;Kombucha Bravia 473ml superberry
237;Jugo Pura Frutta pera 250ml
238;Marcela 50g Plut
239;Mijo pelado 500g Plutarco
240;Pasta Dental con propoleo 85 gr Pajaro Tigre
241;Pimenton dulce 50g Plut
242;Sahumero NAG CHAMPA 10g
243;Yogurth Vegano COCO IOGO CRUDDA  160 GR ARANDANOS
244;Yerba La Buena 1kg
245;Yerba picada vieja 500g
246;Chocolate Colonial 70% x 100grs
247;Chocolate Colonial 70% con stevia
248;Harina de Avena 500g Plutarco
249;Kefir 1Lt Arandanos
250;Leche de coco Tratenfu x 1 lt
251;Polenta Del Campo 500 gr
252;Galletas de arroz Rodez Sin sal
253;Pan esenio Crudencio
254;Pochoclos organico agridulces BAMBOO
255;Polenta Organica 450g Dicomere
256;Porotos Pallares 500g Plutarco
257;Yerba Mate Legado 500g
258;Yerba Sol y Lluvia x 500g
259;Yogurth bebible frutos rojos 1 LT La Choza (NO incluye el envase)
260;Sahumerio Satya meditacion Incense
261;Aceitunas El Renuevo verdes 225gr
262;Jabon de coco 450 gr
263;Pasionaria 50g Plut
264;Shampoo solido Samu 70 gr limon y aloe vera
265;Azucar mascabo 500 gr BALAJU
266;crudda bar coco chocolate
267;Fideos Wakas de quinoa 300g
268;Vinagre de Sidra de Manzana 500ml BIORE
269;YERBA Jesper tradicional 500 gr roja
270;Mantequilla de Mani 360g LE FIT
271;pura Frutta manzana y Frutilla 1lt
272;Manicol 50 gr PACHAMANI cafe a la turca
273;Milanesas de Soja Organicas Sasaki MOA / MEI
274;Manicol 50 gr PACHAMANI cacao y nuez
275;Romero 50g Plut
276;Sahumerio satya palo santo
277;Chocolate Blanco sin azucar NUTRIRTE
278;Dulce de leche LA CHOZA
279;Canela en rama 50g Plut
280;Cortezas x kg Plutarco
281;DURAZNO 250g PLUTARCO
282;Huevos Sueltos Maple
283;Crema humectante FLEUR DE LA VIE
284;MEDALLON QUINOA MEDITERRANEA CASA VEGANA x400g
285;Tilo x 50 gr Plut
286;Boldo x 50g Plut
287;Cebada perlada 500g plutarco
288;Ciruela Umeboshi 100g Suma Qama�a
289;Espirulina en polvo 50g SUMA QUAMA�A
290;fideos qui noa catamarca tallarin quinoa 500g
291;Hamburguesa Burganas Tienda Veggie calabaza
292;Manicol 50 gr PACHAMANI algarroba
293;Manicol 50 gr PACHAMANI cacao
294;Productos Varios Almacen (A)
295;Tomates secos Al sol x 100gr
296;Trigo Sarraceno Pelado semillas gauchas  x 500grs
297;Sahumerio Satya Rose Ayurveda Incense
298;Yerba del pollo 50g Plut
299;Alfajor Coprigio caprigio (vegano)
300;Cardo mariano 50g Plut
301;alitas de pollo COECO
302;Boldo x 50g
303;Jugo Pura Frutta Pera 1Lt
304;Jabon de coco 90grs MAS NATURAL
305;Jugo Manzana verde Pura Frutta 1 lts
306;Kombucha Bravia 473ml Ginger
307;pasta dental sudanta Sri Sri ayurvedica 100g
308;Hamburguesa Burganas Tienda Veggie Brocoli
309;Jabones FLEUR DE LA VIE
310;Milanesa de Seitan VARDO RE-EVOLUCION
311;Queso casta�as caju QU CRUDDA CLASICO
312;Yogurth Griego x350ml LA CHOZA
313;Yogurth Vegano COCO IOGO CRUDDA  160 GR Maracuya
314;Tomates deshidratados Plutarco x100g
315;
316;Tomillo 50g Plut
317;Yerba mate 500g LAS TUNAS
318;Aceite oliva organico Maelca 500cc
319;Ambay 50g Plut
320;Aceite de cannabis medicinal CHO 15ml
321;Aceite de oliva extra virgen San Nicolas 500ml
322;Alfajor Blanco Felices las Vacas
323;Alfajor Chocolate Felices Las Vacas
324;Cous cous Ararat 500 gr
325;Eucalipto Eucaliptus 50g Plut
326;Calendula 50g Plut
327;Tomate triturado SAPIENZA 1Lt
328;tostaditas de quinoa YIN YANG 120g
329;Kefir 1Lt Manzana y Jengibre
330;kefir Tierra Florida maracuya 500ml
331;Pimenton Ahumado 50g Plut
332;Leche de Almendras TRATENFU x 1 lt
333;Leche de Avena 1lt BIBA
334;MEDALLON GARBANZOS AL CURRY CASA VEGANA x400g
335;Pasta de aceitunas verdes 235 gr El Renuevo
336;pasta dental sudanta Sri Sri ayurvedica 200g
337;Sahumerio Satya jasmin Ayurveda Incense
338;Sal rosada del Himalaya hierbas organica 500 gr
339;Poleo 50g Plut
340;Rebozador de Arroz DICOMERE 450g
341;Tahini 330grs mediano oh yeah
342;Pimienta negra molida 50g Plut
343;Super bar Mani DIABLA 35g
344;Tintura madre Equinacea Pajaro Tigre
345;Yogurth bebible Sauco 1 lt La Choza (NO incluye el envase)
346;alfajor celienergy avellanas
347;Agua de Mar 5lt VITALMAR
348;Aji molido 50g Plut
349;alfajores Nutri Raw pasta de mani
350;Desodorante (citrus) 130 cc WELEDA
351;Aceitunas El Renuevo negras 225 gr
352;Galletitas Celienergy Nuez 130g
353;Kimchi LA FERMENTADORA
354;Kombucha Bravia 473ml Manzana  verde
355;Levadura en copos Titan 200 gr
356;Salsa de tomate hecha pomarola 500cc FINCA PARU
357;Coriandro polvo plut 50grs
358;Yamani organico pop inflado Yin Yan 80 gr
359;Higos Negros Agroecologicos 100g SUMA QAMA�A
360;Jugo Sonder Sunset
361;Leche de coco cuisine coconut CHENNAI 400ml
362;Manicol 100 gr PACHAMANI cafe del monj
363;pasta dental sudanta Sri Sri ayurvedica en gel 100g
364;Pimienta negra en grano x 50grs PLUT
365;Tintura madre Antialergica Pajaro Tigre
366;pasta dental sudanta Sri Sri ayurvedica 50g
367;tintura madre equinacea SUMA QAMA�A (echinacea)
368;Queso Cuartirolo 350grs x unidad La Choza ya fraccionado
369;Yerba  De La Chacra 500 grs
370;trigo burgol Ararat grueso 500g
371;Barra natural MERLIN bars
372;Agar agar sobre (algas patag) 10g
373;cepillo de dientes bambu sUDANTA kids
374;Arroz blanco Doble 1 kg PLUTARCO
375;Bifes de seitan 2un VARDO RE-EVOLUCION
376;Jabon de coco barra de x 1 kg
377;Fideos CAMPO CLARO 500 gr TODOS
378;fideos de arroz Party beck rice 280 gr
379;Kombucha Tropical vibes Live kombu
380;Laurel 50grs PLUTARCO
381;Leche de Almendras sin azucar PAMPA VIDA
382;SRI LADDU BAR Brownie
383;SRI LADDU BAR menta
384;Tintura madre expectorante 60 ml Pajaro Tigre
385;Crackers SHIVA mediterraneo x 100grs
386;Tofu Fetas org Soyana
387;
